PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ShortName,HeightFeet,HeightInches,TeamID,GlobalTeamID,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated
19872,DAL,,Malik,Jefferson,LB,Practice Squad,"6'2""",241,1996-11-15T00:00:00,Texas,0,LB,True,DEF,Malik Jefferson,26,M.Jefferson,6,2,9,9,8275086,http://cdn.usatsimg.com/api/download/?imageID=16602816,http://cdn.usatsimg.com/api/download/?imageID=16602817,2021-08-21T13:47:31,2021-08-21T13:47:36
20838,DAL,,Tyron,Johnson,WR,Practice Squad,"6'1""",193,1996-01-08T00:00:00,Oklahoma State,0,WR,True,OFF,Tyron Johnson,27,T.Johnson,6,1,9,9,8306523,http://cdn.usatsimg.com/api/download/?imageID=17069745,http://cdn.usatsimg.com/api/download/?imageID=17074688,2021-10-31T18:30:31,2021-11-01T13:29:24
21781,DAL,,Sean,McKeon,TE,Practice Squad,"6'5""",238,1997-12-28T00:00:00,Michigan,0,TE,True,OFF,Sean McKeon,25,S.McKeon,6,5,9,9,8250861,http://cdn.usatsimg.com/api/download/?imageID=18924043,http://cdn.usatsimg.com/api/download/?imageID=18924046,2022-08-25T12:18:16,2022-08-25T12:18:20
22019,DAL,,Alex,Taylor,OT,Practice Squad,"6'8""",301,1997-04-29T00:00:00,South Carolina State,0,OL,True,OFF,Alex Taylor,26,A.Taylor,6,8,9,9,8306665,http://cdn.usatsimg.com/api/download/?imageID=16582544,http://cdn.usatsimg.com/api/download/?imageID=16582551,2021-08-18T17:42:24,2021-08-18T17:42:33
23467,DAL,,Jalen,Moreno-Cropper,WR,Practice Squad,"6'0""",172,2001-05-03T00:00:00,Fresno State,0,WR,True,OFF,Jalen Moreno-Cropper,22,J.Moreno-Cropper,6,0,9,9,,,,,
23880,DAL,,Malik,Davis,RB,Practice Squad,"5'11""",202,1998-11-26T00:00:00,Florida,0,RB,True,OFF,Malik Davis,24,M.Davis,5,11,9,9,8298256,http://cdn.usatsimg.com/api/download/?imageID=19538902,http://cdn.usatsimg.com/api/download/?imageID=19538901,2022-12-01T15:10:57,2022-12-01T15:10:54
24395,DAL,,Earl,Bostick Jr.,OT,Practice Squad,"6'6""",310,1998-12-31T00:00:00,Kansas,0,OL,True,OFF,Earl Bostick Jr.,24,E.Bostick Jr.,6,6,9,9,,,,,
24448,DAL,,Tyrus,Wheat,DE,Practice Squad,"6'2""",260,1999-12-08T00:00:00,Mississippi State,0,DL,True,DEF,Tyrus Wheat,23,T.Wheat,6,2,9,9,,,,,
24616,DAL,,Durrell,Johnson,DE,Practice Squad,"6'3""",240,1998-06-26T00:00:00,Liberty,0,DL,True,DEF,Durrell Johnson,25,D.Johnson,6,3,9,9,,,,,
24617,DAL,,Princeton,Fant,TE,Practice Squad,"6'2""",235,1999-03-11T00:00:00,Tennessee,0,TE,True,OFF,Princeton Fant,24,P.Fant,6,2,9,9,,,,,
